"gscStatus","url","path","lastGscDate","pageType","currentIndexability","inCurrentSitemap","lastMaterialChange","registryReviewAt","internalLinkSourceCount","sampleInternalLinkSources","sixMonthClicks","sixMonthImpressions","action","destination","rationale","nextReview"
"Crawled - currently not indexed","https://emetcapital.com.au/resources","/resources","Jun 9, 2026","resource","indexable","true","2026-08-06","2027-02-02","407","src/App.tsx; src/components/Footer.tsx; src/components/Navbar.tsx","unavailable","unavailable","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2027-02-02"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/case-studies","/resources/case-studies","Aug 2, 2026","resource","indexable","true","2026-08-06","2027-02-02","21","src/components/Footer.tsx; src/components/Navbar.tsx; src/config/site-route-manifest.ts","0","45","retain","","Indexable URL remains within its evidence-collection window; exclusion alone does not justify removal.","2027-02-02"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/case-studies/adelaide-cbd-office-complex","/resources/case-studies/adelaide-cbd-office-complex","Aug 2, 2026","case-study","noindex","false","2026-08-05","unavailable","0","none found","0","17","retain with noindex","","The page remains useful to visitors but has no separate search mission under the current registry decision.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/case-studies/case-study-second-mortgage-saved-this-business-50k","/resources/case-studies/case-study-second-mortgage-saved-this-business-50k","Apr 27, 2026","case-study","indexable","true","2026-08-06","2026-11-04","0","none found","unavailable","unavailable","improve","","No literal contextual internal-link source was found; add a relevant link rather than creating another overlapping page.","2026-10-18"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/case-studies/melbourne-richmond-asset-finance","/resources/case-studies/melbourne-richmond-asset-finance","May 28, 2026","case-study","noindex","false","2026-08-05","unavailable","0","none found","0","16","retain with noindex","","The page remains useful to visitors but has no separate search mission under the current registry decision.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/case-studies/newcastle-junction-smsf-lending","/resources/case-studies/newcastle-junction-smsf-lending","Jun 2, 2026","case-study","indexable","true","2026-08-06","2026-11-04","0","none found","0","6","improve","","No literal contextual internal-link source was found; add a relevant link rather than creating another overlapping page.","2026-10-18"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/case-studies/newcastle-merewether-equipment-finance","/resources/case-studies/newcastle-merewether-equipment-finance","Jun 1, 2026","case-study","noindex","false","2026-08-05","unavailable","0","none found","0","1","retain with noindex","","The page remains useful to visitors but has no separate search mission under the current registry decision.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/case-studies/newcastle-wickham-business-acquisition","/resources/case-studies/newcastle-wickham-business-acquisition","Jun 4, 2026","case-study","noindex","false","2026-08-05","unavailable","0","none found","0","33","retain with noindex","","The page remains useful to visitors but has no separate search mission under the current registry decision.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/case-studies/perth-business-group-debt-consolidation","/resources/case-studies/perth-business-group-debt-consolidation","Jul 19, 2026","case-study","noindex","false","2026-08-05","unavailable","0","none found","0","25","retain with noindex","","The page remains useful to visitors but has no separate search mission under the current registry decision.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/case-studies/perth-fremantle-first-mortgage","/resources/case-studies/perth-fremantle-first-mortgage","Jul 27, 2026","case-study","noindex","false","2026-08-05","unavailable","0","none found","0","13","retain with noindex","","The page remains useful to visitors but has no separate search mission under the current registry decision.","2026-12-19"
"Crawled - currently not indexed","https://emetcapital.com.au/resources/case-studies/rose-bay-property-development-bridging-loan","/resources/case-studies/rose-bay-property-development-bridging-loan","Jun 2, 2026","case-study","noindex","false","2026-08-05","unavailable","1","src/pages/CaseStudies.tsx","0","4","retain with noindex","","The page remains useful to visitors but has no separate search mission under the current registry decision.","2026-12-19"
